         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1608    0.006    0.000    1.000    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:495(__init__)
   296609    0.257    0.000    0.840    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1785(_save_to_state_dict)
       67    0.001    0.000    0.796    0.012 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\data\imaug\__init__.py:67(transform)
        1    0.000    0.000    0.791    0.791 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\paddleocr.py:624(__init__)
        1    0.000    0.000    0.785    0.785 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_system.py:49(__init__)
       67    0.647    0.010    0.750    0.011 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\data\imaug\operators.py:84(__call__)
      180    0.139    0.001    0.703    0.004 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\activations.py:95(forward)
     8733    0.699    0.000    0.699    0.000 {method 'copy' of 'numpy.ndarray' objects}
       67    0.027    0.000    0.681    0.010 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:493(load_state_dict)
     1608    0.004    0.000    0.664    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:412(__init__)
       67    0.031    0.000    0.654    0.010 C:\Projects\form-sage\.venv310\lib\site-packages\safetensors\torch.py:289(load_file)
        2    0.000    0.000    0.630    0.315 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\utility.py:167(create_predictor)
        2    0.630    0.315    0.630    0.315 {built-in method paddle.base.libpaddle.create_predictor}
       72    0.085    0.001    0.622    0.009 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\ImageFile.py:175(load)
    26197    0.464    0.000    0.613    0.000 {method 'get_tensor' of 'builtins.safe_open' objects}
    40824    0.050    0.000    0.601    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:166(_shape)
      149    0.000    0.000    0.597    0.004 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connectionpool.py:1085(_validate_conn)
       16    0.000    0.000    0.597    0.037 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connection.py:669(connect)
    23811    0.029    0.000    0.583    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\normalization.py:200(forward)
      180    0.564    0.003    0.564    0.003 {built-in method torch.sigmoid}
       67    0.030    0.000    0.561    0.008 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:196(filter_tag_det_res)
    23811    0.027    0.000    0.540    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\functional.py:2531(layer_norm)
      149    0.002    0.000    0.527    0.004 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connection.py:369(request)
      164    0.001    0.000    0.512    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\http\client.py:968(send)
      164    0.001    0.000    0.512    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1226(sendall)
      164    0.000    0.000    0.510    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:1199(send)
      164    0.510    0.003    0.510    0.003 {method 'write' of '_ssl._SSLSocket' objects}
   231418    0.227    0.000    0.507    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1690(__setattr__)
    23811    0.500    0.000    0.500    0.000 {built-in method torch.layer_norm}
    21790    0.476    0.000    0.476    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.452    0.452 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:37(__init__)
      378    0.003    0.000    0.449    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\torch\utils\data\dataloader.py:626(__next__)
     7213    0.445    0.000    0.445    0.000 {resize}
    40824    0.432    0.000    0.432    0.000 {method 'contiguous' of 'torch._C.TensorBase' objects}
      378    0.001    0.000    0.425    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\torch\utils\data\dataloader.py:673(_next_data)
      378    0.001    0.000    0.423    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\torch\utils\data\_utils\fetch.py:24(fetch)
      378    0.000    0.000    0.421    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\pt_utils.py:180(__next__)
      441    0.005    0.000    0.420    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\zero_shot_classification.py:208(preprocess)
    25877    0.417    0.000    0.417    0.000 {method 'decode' of 'ImagingDecoder' objects}
      378    0.002    0.000    0.414    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\zero_shot_classification.py:103(_parse_and_tokenize)
      383    0.003    0.000    0.413    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_base.py:2783(__call__)
      383    0.002    0.000    0.409    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_base.py:2875(_call_one)
      383    0.003    0.000    0.407    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_base.py:3094(batch_encode_plus)
     9648    0.029    0.000    0.403    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\linear.py:92(__init__)
     1221    0.012    0.000    0.398    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\rec_postprocess.py:199(__call__)
      383    0.004    0.000    0.392    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\tokenization_utils_fast.py:485(_batch_encode_plus)
      378    0.002    0.000    0.391    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\tokenization_bart_fast.py:222(_batch_encode_plus)
       67    0.008    0.000    0.385    0.006 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:374(check_support_param_buffer_assignment)
     7292    0.127    0.000    0.379    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\db_postprocess.py:189(box_score_fast)
        5    0.000    0.000    0.376    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\processing_clip.py:61(__call__)
        5    0.000    0.000    0.372    0.074 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\image_processing_utils.py:39(__call__)
        5    0.009    0.002    0.372    0.074 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\image_processing_clip.py:200(preprocess)
   275705    0.366    0.000    0.366    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     7146    0.086    0.000    0.356    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\db_postprocess.py:160(unclip)
        1    0.000    0.000    0.333    0.333 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_rec.py:40(__init__)
       16    0.000    0.000    0.330    0.021 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\connection.py:846(_ssl_wrap_socket_and_match_hostname)
       16    0.000    0.000    0.330    0.021 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\util\ssl_.py:390(ssl_wrap_socket)
       16    0.000    0.000    0.330    0.021 C:\Projects\form-sage\.venv310\lib\site-packages\urllib3\util\ssl_.py:488(_ssl_wrap_socket_impl)
       16    0.000    0.000    0.330    0.021 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\ssl.py:507(wrap_socket)
